year,album,track_n,track_title,lyric
2006,taylor swift,14,a perfectly good heart,why would you wanna break a perfectly good heart?  ...
2017,reputation,3,i did something bad,"i never trust a narcissist, but they love me so i  ..."
2017,reputation,8,gorgeous,gorgeous you should take it as a compliment that i ...
2006,taylor swift,4,a place in this world,"i don't know what i want, so don't ask me cause i' ..."
2012,red,4,i knew you were trouble,"once upon a time, a few mistakes ago i was in your ..."
2010,speak now,2,sparks fly,the way you move is like a full on rainstorm and i ...
2017,reputation,12,dress,our secret moments in a crowded room they got no i ...
2010,speak now,9,enchanted,"there i was again tonight forcing laughter, faking ..."
2017,reputation,7,so it goes...,"see you in the dark all eyes on you, my magician a ..."
2012,red,15,starlight,"i said, ""oh my, what a marvelous tune"" it was the  ..."
